Time,Open,High,Low,Close,Volume
"Mar 29, 2021",231.02,231.02,215.36,215.36,3995500
"Mar 30, 2021",207.00,222.97,201.12,220.59,15954000
"Mar 31, 2021",224.90,225.50,204.05,204.05,7645000
"Apr 1, 2021",197.01,205.35,188.75,188.75,9463500
"Apr 2, 2021",182.05,187.00,174.60,175.94,9462000
"Apr 5, 2021",175.99,177.50,162.75,162.75,7413500
"Apr 6, 2021",159.00,173.97,156.50,172.52,19228000
"Apr 7, 2021",173.60,173.80,159.59,159.59,6416000
"Apr 8, 2021",158.00,168.00,149.12,165.25,11915000
"Apr 9, 2021",165.50,173.40,162.00,171.16,10182000
"Apr 12, 2021",167.80,169.40,158.33,160.02,6160000
"Apr 13, 2021",156.99,172.02,152.55,171.11,9578000
"Apr 14, 2021",175.00,183.94,173.21,183.94,6761500
"Apr 15, 2021",185.00,186.25,172.10,176.94,9268500
"Apr 16, 2021",178.00,180.99,173.80,174.93,2417000
"Apr 19, 2021",168.00,174.93,161.82,162.33,4072000
"Apr 20, 2021",167.00,173.75,163.15,171.58,4181500
"Apr 21, 2021",172.50,172.88,164.50,166.66,4106500
"Apr 22, 2021",165.05,165.85,155.51,158.54,2265000
"Apr 23, 2021",155.00,159.80,151.50,156.19,2734500
"Apr 26, 2021",153.90,159.90,150.11,155.00,3067500
"Apr 27, 2021",155.97,166.62,155.11,165.69,5074500
"Apr 28, 2021",170.00,178.11,170.00,178.11,6514000
"Apr 29, 2021",178.99,180.73,165.65,170.48,5433000
"Apr 30, 2021",164.00,164.00,157.70,157.70,1648000
"May 3, 2021",149.06,150.00,145.88,145.88,1375000
"May 4, 2021",134.94,138.00,134.94,134.94,4119000
"May 5, 2021",134.00,143.00,127.53,137.73,10790500
"May 6, 2021",138.61,140.50,133.00,137.45,2819500
"May 17, 2021",140.00,147.75,137.45,147.75,6295500
"May 18, 2021",146.00,146.00,140.55,143.04,4939000
"May 19, 2021",139.00,148.50,138.50,143.29,5851500
"May 20, 2021",143.98,154.03,142.65,154.03,11773000
"May 21, 2021",155.75,165.58,154.52,165.58,6220000
"May 24, 2021",170.50,177.99,163.00,176.13,13153000
"May 25, 2021",177.40,185.50,170.99,183.90,14300000
"May 26, 2021",183.89,192.50,180.51,184.03,8866000
"May 27, 2021",186.60,187.00,180.15,184.64,4483500
"May 28, 2021",185.01,191.20,182.51,184.69,7405000
"May 31, 2021",185.00,186.00,175.45,177.34,6933000
"Jun 1, 2021",177.40,181.80,170.20,173.22,6424500
"Jun 2, 2021",172.90,174.40,167.00,169.18,4041000
"Jun 3, 2021",169.50,181.86,169.50,181.30,12080500
"Jun 4, 2021",181.30,192.75,178.00,190.99,15979000
"Jun 7, 2021",193.00,197.45,177.30,180.89,16919000
